电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
电锯惊魂/Saw/恐惧斗室(港)/夺魂锯(台),https://movie.douban.com/subject/1417598/,8.7,570391,导演: 詹姆斯·温 James Wan,主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑惊悚恐怖,真相就在眼前。
达拉斯买家俱乐部/DallasBuyersClub/续命枭雄(港)/药命俱乐部(台),https://movie.douban.com/subject/1793929/,8.8,477794,导演: 让-马克·瓦雷 Jean-Marc Vallée,主演: 马修·麦康纳 Matthew McCon...,2013,美国,剧情传记同性,Jared Leto的腿比女人还美！
小丑/Joker/小丑起源电影：罗密欧/Romeo,https://movie.douban.com/subject/27119724/,8.7,1065048,导演: 托德·菲利普斯 Todd Phillips,主演: 杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国加拿大,剧情犯罪惊悚,
疯狂原始人/TheCroods/古鲁家族(港/台),https://movie.douban.com/subject/1907966/,8.7,878144,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,主演...,2013,美国,喜剧动画冒险,老少皆宜，这就是好莱坞动画的魅力。
谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),https://movie.douban.com/subject/1578507/,8.8,441784,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2007,美国德国法国英国,动作悬疑惊悚,像吃了苏打饼一样干脆的电影。
心灵奇旅/Soul/灵魂奇遇记(港)/灵魂急转弯(台),https://movie.douban.com/subject/24733428/,8.7,1053487,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,主演: 杰米·...,2020,美国,动画奇幻音乐,
"背靠背，脸对脸/背对背，脸对脸/BacktoBack,FacetoFace",https://movie.douban.com/subject/1307856/,9.5,153834,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,主演: 牛振华 Zhenhua N...,1994,中国大陆中国香港,剧情,
绿里奇迹/TheGreenMile/绿色奇迹(台)/绿色英里,https://movie.douban.com/subject/1300374/,8.9,358124,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪剧情奇幻悬疑,天使暂时离开。
上帝之城/CidadedeDeus/无主之城(港)/无法无天(台),https://movie.douban.com/subject/1292208/,9.0,315543,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,,2002,巴西法国,犯罪剧情,被上帝抛弃了的上帝之城。
英雄本色/ABetterTomorrow/GanglandBoss,https://movie.douban.com/subject/1297574/,8.6,571737,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情动作犯罪,英雄泪短，兄弟情长。
风之谷/風の谷のナウシカ/风谷少女/KazenotaninoNaushika,https://movie.douban.com/subject/1291585/,8.9,373687,导演: 宫崎骏 Hayao Miyazaki,主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画奇幻冒险,动画片的圣经。
爱在午夜降临前/BeforeMidnight/情约半生(港)/爱在午夜希腊时(台),https://movie.douban.com/subject/10808442/,8.9,434810,导演: 理查德·林克莱特 Richard Linklater,主演: 伊桑·霍克 Ethan Hawke ...,2013,美国希腊,剧情爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记/海街diary/海街女孩日记(港)/KamakuraDiary,https://movie.douban.com/subject/25895901/,8.8,481926,导演: 是枝裕和 Hirokazu Koreeda,主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情家庭,是枝裕和的家庭习作。
纵横四海/緃横四海/OnceaThief,https://movie.douban.com/subject/1295409/,8.8,449643,导演: 吴宇森 John Woo,主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情喜剧动作犯罪,香港浪漫主义警匪动作片的巅峰之作。
疯狂的石头/CrazyStone,https://movie.douban.com/subject/1862151/,8.6,871614,导演: 宁浩 Hao Ning,主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆中国香港,喜剧犯罪,中国版《两杆大烟枪》。
无间道2/無間道II/无间道前传/InfernalAffairsII,https://movie.douban.com/subject/1307106/,8.8,520363,导演: 刘伟强 / 麦兆辉,主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003,中国香港,剧情犯罪惊悚,
卢旺达饭店/HotelRwanda/卢安达饭店(台),https://movie.douban.com/subject/1291822/,8.9,348243,导演: 特瑞·乔治 Terry George,主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国南非意大利美国,剧情传记历史战争,当这个世界闭上双眼，他却敞开了怀抱。
2001太空漫游/2001:ASpaceOdyssey/2001：星际漫游/2001：太空奥德赛,https://movie.douban.com/subject/1292226/,8.9,360536,导演: 斯坦利·库布里克 Stanley Kubrick,主演: 凯尔·杜拉 Keir Dullea / ...,1968,英国美国,科幻惊悚冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。
雨中曲/Singin'intheRain/万花嬉春(港/台),https://movie.douban.com/subject/1293460/,9.1,245349,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,主演: 吉恩·...,1952,美国,喜剧歌舞爱情,骨灰级歌舞片。
记忆碎片/Memento/凶心人(港)/记忆拼图(台),https://movie.douban.com/subject/1304447/,8.7,634823,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪剧情悬疑惊悚,一个针管引发的血案。
小偷家族/万引き家族/Shoplifters/UneAffairedeFamille,https://movie.douban.com/subject/27622447/,8.7,853704,导演: 是枝裕和 Hirokazu Koreeda,主演: 中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情犯罪家庭,我们组成了家。
无敌破坏王/Wreck-ItRalph/破坏王拉尔夫/破坏王大冒险,https://movie.douban.com/subject/6534248/,8.7,575016,导演: 瑞奇·莫尔 Rich Moore,主演: 约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧动画奇幻冒险,迪士尼和皮克斯拿错剧本的产物。
岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,https://movie.douban.com/subject/3792799/,8.7,593001,导演: 罗启锐 Alex Law,主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港中国大陆,剧情家庭,岁月流逝，来日可追。
荒蛮故事/Relatossalvajes/蛮荒故事/生命中最抓狂的小事(台),https://movie.douban.com/subject/24750126/,8.8,468634,导演: 达米安·斯兹弗隆 Damián Szifron,主演: 达里奥·葛兰帝内提 Darío...,2014,阿根廷西班牙,剧情喜剧犯罪,始于荒诞，止于更荒诞。
忠犬八公物语/ハチ公物語/八千公物语/阿八的故事,https://movie.douban.com/subject/1959195/,9.2,206499,导演: 神山征二郎 Seijirô Kôyama,主演: 仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,养狗三日，便会对你终其一生。
冰川时代/IceAge/冰河世纪/冰原历险记,https://movie.douban.com/subject/1291578/,8.6,649413,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,主演...,2002,美国,喜剧动画冒险,松鼠才是角儿。
牯岭街少年杀人事件/牯嶺街少年殺人事件/ABrighterSummerDay,https://movie.douban.com/subject/1292329/,8.9,331828,导演: 杨德昌 Edward Yang,主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情犯罪,弱者送给弱者的一刀。
恐怖游轮/Triangle/汪洋血迷宮(台)/轮回三角,https://movie.douban.com/subject/3011051/,8.5,924563,导演: 克里斯托弗·史密斯 Christopher Smith,主演: 梅利莎·乔治 Melissa ...,2009,英国澳大利亚,剧情悬疑惊悚,不要企图在重复中寻找已经失去的爱。
爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),https://movie.douban.com/subject/25773932/,8.7,625103,导演: 达米恩·查泽雷 Damien Chazelle,主演: 迈尔斯·特勒 Miles Teller /...,2014,美国,剧情音乐,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
东京教父/東京ゴッドファーザーズ/TokyoGodfathers,https://movie.douban.com/subject/1310177/,9.0,257508,导演: 今敏 Satoshi Kon,主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情喜剧动画,
魔女宅急便/魔女の宅急便/魔女琪琪(台)/小魔女限时专送,https://movie.douban.com/subject/1307811/,8.7,491359,导演: 宫崎骏 Hayao Miyazaki,主演: 高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画奇幻冒险,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
大佛普拉斯/TheGreatBuddha+,https://movie.douban.com/subject/27059130/,8.7,507745,导演: 黄信尧 Hsin-yao Huang,主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情喜剧,人们可以登上月球，却永远无法探索人们内心的宇宙。
遗愿清单/TheBucketList/玩转身前事(港)/一路玩到挂(台),https://movie.douban.com/subject/1867345/,8.7,496970,导演: 罗伯·莱纳 Rob Reiner,主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,2007,美国,冒险喜剧剧情,用剩余不多的时间，去燃烧整个生命。
贫民窟的百万富翁/SlumdogMillionaire/一百万零一夜(港)/贫民百万富翁(台),https://movie.douban.com/subject/2209573/,8.6,775534,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,主演: 戴夫...,2008,英国,剧情爱情,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
末路狂花/Thelma&Louise/塞尔玛与路易丝/末路狂花,https://movie.douban.com/subject/1291992/,8.9,294948,导演: 雷德利·斯科特 Ridley Scott,主演: 吉娜·戴维斯 Geena Davis / 苏...,1991,美国英国法国,犯罪剧情惊悚,没有了退路，只好飞向自由。
东邪西毒/東邪西毒/AshesofTime,https://movie.douban.com/subject/1292328/,8.6,603163,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港中国台湾,剧情动作爱情武侠古装,电影诗。
你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)/你看上去好像很好吃,https://movie.douban.com/subject/4848115/,8.9,351876,导演: 藤森雅也 Masaya Fujimori,主演: 山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情动画儿童,感情不分食草或者食肉。
可可西里/Kekexili:MountainPatrol,https://movie.douban.com/subject/1308857/,8.9,322189,导演: 陆川 Chuan Lu,主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆中国香港,剧情犯罪,坚硬的信仰。
源代码/SourceCode/启动原始码(台)/危机解密(港),https://movie.douban.com/subject/3075287/,8.5,877046,导演: 邓肯·琼斯 Duncan Jones,主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国加拿大,科幻悬疑惊悚,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路/MadMax:FuryRoad/末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台),https://movie.douban.com/subject/3592854/,8.7,579169,导演: 乔治·米勒 George Miller,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚美国,动作科幻冒险,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
城市之光/CityLights/CityLights:AComedyRomanceinPantomime/LichterderGroßstadt,https://movie.douban.com/subject/1293908/,9.3,158440,导演: Charles Chaplin,主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931,美国,喜剧剧情爱情,永远的小人物，伟大的卓别林。
海边的曼彻斯特/ManchesterbytheSea/情系海边之城(港),https://movie.douban.com/subject/25980443/,8.6,594914,导演: 肯尼斯·罗纳根 Kenneth Lonergan,主演: 卡西·阿弗莱克 Casey Affle...,2016,美国,剧情家庭,我们都有权利不与自己的过去和解。
黑天鹅/BlackSwan/夺命黑天鹅/霸王别鹅(豆友译名),https://movie.douban.com/subject/1978709/,8.6,811207,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,主演: 娜塔莉·波特曼 Natalie...,2010,美国,剧情惊悚,黑暗之美。
波西米亚狂想曲/BohemianRhapsody/波希米亚狂想曲：摇滚传说(港)/波希米亚狂想曲(台),https://movie.douban.com/subject/5300054/,8.6,647282,导演: 布莱恩·辛格 Bryan Singer,主演: 拉米·马雷克 Rami Malek / 本·哈...,2018,英国美国,剧情传记同性音乐,
真爱至上/LoveActually/真的恋爱了(港)/爱是您，爱是我(台),https://movie.douban.com/subject/1292401/,8.5,768235,导演: 理查德·柯蒂斯 Richard Curtis,主演: 休·格兰特 Hugh Grant / 连姆...,2003,英国美国法国,喜剧剧情爱情,爱，是个动词。
高山下的花环/卫国军魂(港)/WreathsattheFootoftheMountain,https://movie.douban.com/subject/1422283/,9.5,118429,导演: 谢晋 Jin Xie,主演: 吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆)/1985,中国大陆,剧情战争,
芙蓉镇/HibiscusTown,https://movie.douban.com/subject/1297880/,9.3,161196,导演: 谢晋 Jin Xie,主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情爱情,
爱乐之城/LaLaLand/星声梦里人(港)/乐来越爱你(台),https://movie.douban.com/subject/25934014/,8.4,1010451,导演: 达米恩·查泽雷 Damien Chazelle,主演: 瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情爱情歌舞,
青蛇/GreenSnake,https://movie.douban.com/subject/1303394/,8.6,556253,导演: 徐克 Hark Tsui,主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港中国大陆,剧情爱情奇幻古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
雨人/RainMan/手足情未了(港)/手足情深,https://movie.douban.com/subject/1291870/,8.7,422909,导演: 巴瑞·莱文森 Barry Levinson,主演: 达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)/暗恋那点小事,https://movie.douban.com/subject/4739952/,8.5,1012990,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情喜剧爱情,黑小鸭速效美白记。
终结者2：审判日/Terminator2:JudgmentDay/未来战士2(港)/魔鬼终结者2(台),https://movie.douban.com/subject/1291844/,8.8,360456,导演: 詹姆斯·卡梅隆 James Cameron,主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国法国,动作科幻,少见的超越首部的续集，动作片中的经典。
人工智能/A.I.ArtificialIntelligence/AI人工智慧,https://movie.douban.com/subject/1302827/,8.7,472529,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 海利·乔·奥斯蒙 Haley...,2001,美国英国,剧情科幻,对爱的执着，可以超越一切。
虎口脱险/Lagrandevadrouille/横冲直撞出重围(港)/大進擊(台),https://movie.douban.com/subject/1296909/,8.9,275051,导演: 杰拉尔·乌里 Gérard Oury,主演: 路易·德·菲耐斯 Louis de Funès...,1966,法国英国,喜剧战争,永远看不腻的喜剧。
恋恋笔记本/TheNotebook/忘了·忘不了(港)/手札情缘(台),https://movie.douban.com/subject/1309163/,8.5,709992,导演: 尼克·卡索维茨 Nick Cassavetes,主演: 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情爱情,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)/爱如花束恋恋不忘,https://movie.douban.com/subject/34874432/,8.6,713352,导演: 土井裕泰 Nobuhiro Doi,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情爱情,
无耻混蛋/InglouriousBasterds/希魔撞正杀人狂(港)/恶棍特工(台),https://movie.douban.com/subject/1438652/,8.7,512516,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 布拉德·皮特 Brad Pitt / ...,2009,德国美国,剧情犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
新龙门客栈/新龍門客棧/NewDragonGateInn,https://movie.douban.com/subject/1292287/,8.7,471948,导演: 李惠民 Raymond Lee,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港中国大陆,动作爱情武侠古装,嬉笑怒骂，调风动月。
罗生门/羅生門/Rashomon,https://movie.douban.com/subject/1291879/,8.8,334877,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情犯罪悬疑,人生的N种可能性。
崖上的波妞/崖の上のポニョ/悬崖上的金鱼姬/悬崖上的金鱼公主,https://movie.douban.com/subject/1959877/,8.6,534663,导演: 宫崎骏 Hayao Miyazaki,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画奇幻冒险,
千钧一发/Gattaca/变种异煞(港)/自然人,https://movie.douban.com/subject/1300117/,8.8,322657,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情科幻惊悚,一部能引人思考的科幻励志片。
哈利·波特与死亡圣器(上)/HarryPotterandtheDeathlyHallows:Part1/哈利波特7：死神的圣物1(港/台),https://movie.douban.com/subject/2051007/,8.6,624736,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国美国,奇幻冒险,最忠于原著的一部。
彗星来的那一夜/Coherence/相干性/相干效应,https://movie.douban.com/subject/25807345/,8.6,629758,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,主演: 艾米丽·芭尔多尼 Em...,2013,美国英国,科幻悬疑惊悚,小成本大魅力。
白日梦想家/TheSecretLifeofWalterMitty/发梦王大历险(港)/白日梦冒险王(台),https://movie.douban.com/subject/2133323/,8.6,560128,导演: 本·斯蒂勒 Ben Stiller,主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国英国,剧情喜剧冒险,
萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌,https://movie.douban.com/subject/1293318/,8.7,420872,导演: 高畑勋 Isao Takahata,主演: 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画剧情战争,幸福是生生不息，却难以触及的远。
黑客帝国2：重装上阵/TheMatrixReloaded/22世纪杀人网络2：决战未来(港)/骇客任务：重装上阵(台),https://movie.douban.com/subject/1304141/,8.7,428494,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,...,2003,美国,动作科幻,一个精彩的世界观正在缓缓建立。
奇迹男孩/Wonder/奇迹,https://movie.douban.com/subject/26787574/,8.6,574643,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,主演: 雅各布·特伦布莱 Jacob Tr...,2017,美国中国香港,剧情儿童家庭,世界不完美，爱会有奇迹。
火星救援/TheMartian/火星任务(港)/绝地救援(台),https://movie.douban.com/subject/25864085/,8.5,779138,导演: 雷德利·斯科特 Ridley Scott,主演: 马特·达蒙 Matt Damon / 杰西卡...,2015,英国美国匈牙利约旦,剧情科幻冒险,
二十二/TwentyTwo/22,https://movie.douban.com/subject/26430107/,8.7,302615,导演: 郭柯 Ke Guo,主演: ,2015,中国大陆,纪录片,有一些东西不应该被遗忘。
大红灯笼高高挂/RaiseTheRedLantern/Épousesetconcubines,https://movie.douban.com/subject/1293323/,8.8,319819,导演: 张艺谋 Yimou Zhang,主演: 巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆中国香港中国台湾,剧情,
战争之王/LordofWar/军火之王(台/港),https://movie.douban.com/subject/1419936/,8.7,390759,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 尼古拉斯·凯奇 Nicolas Cage /...,2005,美国德国,剧情犯罪,做一颗让别人需要你的棋子。
哈利·波特与凤凰社/HarryPotterandtheOrderofthePhoenix/哈利波特5：凤凰会的密令(港/台),https://movie.douban.com/subject/1457217/,8.5,620476,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国美国,奇幻冒险,
血钻/BloodDiamond/血钻石(台)/血腥钻石,https://movie.douban.com/subject/1428175/,8.7,400428,导演: 爱德华·兹威克 Edward Zwick,主演: 莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国德国英国,剧情惊悚冒险,每个美丽事物背后都是滴血的现实。
千年女优/千年女優/MillenniumActress,https://movie.douban.com/subject/1307394/,8.8,292588,导演: 今敏 Satoshi Kon,主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画剧情爱情,爱情是一场没有尽头的虚幻追逐。
步履不停/歩いても歩いても/横山家之味(港/台),https://movie.douban.com/subject/2222996/,8.8,298647,导演: 是枝裕和 Hirokazu Koreeda,主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情家庭,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
谍影重重2/TheBourneSupremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台),https://movie.douban.com/subject/1308767/,8.7,373544,导演: 保罗·格林格拉斯 Paul Greengrass,主演: 马特·达蒙 Matt Damon / ...,2004,美国德国,动作悬疑惊悚,谁说王家卫镜头很晃？
房间/Room/不存在的房间(台)/抖室(港),https://movie.douban.com/subject/25724855/,8.8,383586,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,主演: 布丽·拉尔森 Brie Larson...,2015,爱尔兰加拿大英国美国,剧情家庭,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
魂断蓝桥/WaterlooBridge/滑铁卢桥/断桥残梦,https://movie.douban.com/subject/1293964/,8.8,293898,导演: 茂文·勒鲁瓦 Mervyn LeRoy,主演: 费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情爱情战争,中国式内在的美国电影。
蜘蛛侠：平行宇宙/Spider-Man:IntotheSpider-Verse/蜘蛛侠：新纪元/蜘蛛人：新宇宙(台),https://movie.douban.com/subject/26374197/,8.6,710869,导演: 鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey,主...,2018,美国,动作科幻动画冒险,
弱点/TheBlindSide/守护有心人(港)/攻其不备(台),https://movie.douban.com/subject/3552028/,8.7,333181,导演: 约翰·李·汉考克 John Lee Hancock,主演: 桑德拉·布洛克 Sandra Bu...,2009,美国,剧情家庭传记运动,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
谍影重重/TheBourneIdentity/叛谍追击(港)/神鬼认证(台),https://movie.douban.com/subject/1304102/,8.6,454343,导演: 道格·里曼 Doug Liman,主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国德国捷克,动作悬疑惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
朗读者/TheReader/为爱朗读(台)/读爱(港),https://movie.douban.com/subject/2213597/,8.6,470688,导演: 史蒂芬·戴德利 Stephen Daldry,主演: 凯特·温丝莱特 Kate Winslet ...,2008,美国德国,剧情爱情,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
阿飞正传/阿飛正傳/DaysofBeingWild,https://movie.douban.com/subject/1305690/,8.5,539729,导演: 王家卫 Kar Wai Wong,主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,中国香港,犯罪剧情爱情,王家卫是一种风格，张国荣是一个代表。
隐藏人物/HiddenFigures/NASA无名英雌(港)/关键少数(台),https://movie.douban.com/subject/26615208/,8.9,239923,导演: 特奥多尔·梅尔菲 Theodore Melfi,主演: 塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情传记历史,
冰雪奇缘/Frozen/魔雪奇缘(港)/冰雪大冒险,https://movie.douban.com/subject/4202982/,8.5,744008,导演: 克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,主演: 克里斯汀...,2013,美国,喜剧动画奇幻歌舞,
